content,polarity,topic,Tweet_No
on this weeks episode of the ev resource podcast id launch californias governor moves to ban gaspowered cars and more  evpodcast evs electricvehicles,-1,3,35
perth western   model  deliveries are going gangbusters  on the lot awesome to help work colleague alexis also   sustainability manager with receiving her new m lr evs everywhere bewdiful,1,-1,36
the end of the internal combustion engine ice is near question is  can the  make it through the inexorable transition to evs electric vehicles  innovation,1,3,37
minnesota state fair highlighting evs e biodiesel  ngt news  via,1,2,38
executive order calls for  evs in oregon by   has support from  other private firms cop,0,-1,39
meet our  cleanfuels champion amp greenfleet leadership award winners at our annual meeting amp holiday reception on dec   rsvp today  chicago cleanair altfuels biodiesel cng propane evs,1,2,40
yes as  says its takes public advocacy to ensure a cleaneco future that includes electric buses evs and clean air futureisbright actonclimate,1,3,41
dyson claims it tried to build new electric car at british honda plant honda denies  via  dyson electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel brexit,1,-1,42
mini cooper se is the brands first allelectric car  via  minielectric electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,0,-1,43
zombie technologies of electric vehicles hydrogen fuel cell cars  via  hydrogen hydrogennow hydrogenclimate climateactionnow investment investments investeu electriccars electricvehicles evs tesla cars autos vw daimler bmw,1,-1,44
evs ev electriccar   investments in electric car batteries is a must cex graphite  sgtexinc,1,-1,45
drops model  prices and moves to an online sales model read more  automotive onlinesales automotiveindustry teslamodel model newcars electricvehicles evs onlinedealerships affordableevs  futuremobility emobility cars,1,-1,46
oil company forecasts have a lot more evs in them than they did a few years ago,1,2,47
btw electric aircraft and ships will be here within a few years the electrification of everything is already happening because evs plus renewables are more efficient more economical and more sustainable ice will be phased out by,1,0,48
uk releases plan to put electric car chargers in all new homes  electriccars electricvehicles electriccar evs ev tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,4,49
great to be interviewed by e yesterday for a piece on the state of electric vehicle adoption in ireland evs sustainablemobility,1,-1,50
with ev boom set to go into overdrive autotrader lists the  best  eugreendeal climateactionnow electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,3,51
excellent summary by  on the state of the market and history of batteryquality lithium  lithium evs ess,1,-1,52
you didnt need much teaching of how to socialise off it  topman evs,1,5,53
back in dallas for thanksgiving i spent my morning coffee run explaining to my mom why autonomous  evs are safe shes not fully convinced but im getting close,1,-1,54
similar story in neighboring sweden diesel car sales are down by  compared to the last quarter why demand for evs is not picking up as fast as norway,-1,2,55
vw unveils new home idcharger station ahead of id release  via  electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,0,5,56
fisker ocean interior made spaciously to stow your purse comfortably fisker fiskerocean electriccar evs electricvehicle drive life lifestyle style trend men women automotive thursday  motivation design tech innovation architecture,1,-1,57
electric vehicle charging stations in pariswe are looking forward to see more of these in jozi town greeneconomy electricintelligence electricmobility evs  paris france,1,3,58
hopefully they make sure to set the length and direction right this time denton tx evs,1,-1,59
poland bets on electric cars to boost domestic suppliers  via  poland eugreendeal climateactionnow electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo,1,-1,60
gm to exit internal combustion engine vehicles by  going all evs and hydrogen netzero evs,1,3,61
spotted a teslamodelx celebrating spring w a trip to the santamonicapier evsareeverywhere onlyinla tesla ev evs,0,3,62
sport volunteering gives power  evsfuture erasmusplus evs,1,3,63
volkswagen makes history at pikespeak  evs vw pikespeakhillclimb pikespeak,1,-1,64
germans before and after shots he retired his old chevy and now drives an ecofriendly nissan leaf  thanks  for the drivecleaninthesanjoaquin programcleanercars cleancarsall nissanleaf ev evs,0,3,65
electric vehicles are being outpaced by the growth of suvs suvs electriccars electricvehicles electriccar evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel  via,1,-1,66
same car in wa is k more despite massive mining royalties cmon treasurer  youre not doing enough to support evs and pls start building our electric vehicle fast charging highway its pennies compared to other infrastructure projects,-1,5,67
pretty praha i fell in love with your beauty sad to leave you already travel europe roadtrip citytrip city capital holidays evs  prague czech republic,1,-1,68
glad be a part of this cool stat as  owners  cc  evs,1,5,69
electric dreams eu exports drive bn trade surplus in electric cars but irish uptake lags  electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel investeu,-1,5,70
my evs experience  actor cultural association for theatre and origami in romania gt lifechanging amp eyesopening in  our international team of evs volunteers performed the theatre play to ill kids at hospitals erasmusplus docunion actorromania erasmusmillion,1,3,71
automaker  and  established a battery jointventure prime planet eco and solutions for electric automotive applications  argusmetals batterymetals evszach schumacher reports,1,-1,72
lovely wonderland italia italy cortona arezzo europe evs esc erasmus town sun medieval photography trees city nature walking exploring hills love travel travelling sunny,1,1,73
a busy week a large part of the fisker team are on their way to the magna factory this week fisker love evs esg climateaction manufacturing,1,5,74
a great article giving examples on how electricvehicles evs are benefitting all of our transport modes,1,1,75
cop special event roundtable on lowcarbon options for transport having enough shared mobility system providers  smart apps will be key to offering as many options as possible to citizens evs ebikes ebuses trams walks shared services,1,-1,76
thanks      for informing the autoindustry re mobility transportation finance autofinance autonomouscars selfdriving driverlesscars avs evs atalvehicles,1,5,77
icymi this weeks  newsletter features stories on electronics industry predictions for  from leaders including     amp  covering ai iot g evs stem smart everything  more,1,-1,78
evs powerplaymondayedition  with  and  np scatter ft raypowerfmph cooldjkenyo,0,3,79
it wasnt easy to convert  to an electric car but when he saw the car and heard the price  fisker climateactionnow evs digital,1,-1,80
nice to see  taking evs seriously with mustang f and transit vans available soon as evs  thanks for taking real steps to help fight climatechange,1,-1,81
this morning i gave the first chevy bolt in nycs fleet a bit more juice soon well have  evs in the fleet including  bolts onenyc,1,3,82
fastcharging for evs varies widely depending on the country ceeev data from,1,2,83
next up at fisitaplus professor david greenwood of  speaks about the electrification of vehicles evs hybrid phev,1,5,84
to the near future and beyond with the vw buzz cargo  la losangeles losangelesautoshow    bulli evs electric,1,-1,85
my girl pipa  fundaciomona mona spain girona volunteer rescue rehabilitate charity erasmus evs monkey primate barbary macaque,0,0,86
seat recharges city driving with the mii electric  evs,1,5,87
qampa aston martins electric future  via  astonmartin electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,-1,88
a surprise performance at this evenings evs recognition huddle racquel can clean provide patients with exceptional service and sing what cant she do lets get her discovered,1,-1,89
yea im glad that  made this mustangmache great looking ev and in a segment they dont normally carry the brand  now both american companies that didnt need to get bailed out in the  recession are building evs and its awesome revolution,-1,5,90
exciting to see canadian companies and researchers doing pioneering work on the hydrogenfuel front evs,1,2,91
the cowheels evs are here on orkney too  ready to hire out by the hour  bmwi nissanleaf nissanenv,1,0,92
ford aims to electrify london      evs,1,-1,93
progress on climateaction and clean air china leadership evs,1,3,94
home  evs sve europeanvoluntaryservice servicevolontaireeuropeen russia russie rusland russland belgium belgique belgie belgien europeanunion eu ue europe travel voyage intercultural culture,1,1,95
cobalt why smartphones and evs are no longer driving the search for blue gold  economics business commodities environment,-1,0,96
major lloyd jones of belize outlines his theoryofchange framework and announces plans to explore partnerships with participants from haiti amp trinidadandtobago on evs      msmeclimate conceptsgcf,1,5,97
vw id  xpel prime xr black ceramic  window tint electricvehicles ev electricvehicle electriccars electriccar vw emobility electric xpel tintmanfl electricmobility cars zeroemissions id  evs driveelectric carsofinstagram ele,1,1,98
the emobility revolution in kenya amp east africa is taking shape slowlywhat the offgrid market was  years agovery soon someone will crack the market amp the rest will follow emobility electricvehicles evs battery,1,3,99
ipace  fast electric and handsome electriccars evs jaguar  motorhappy,1,2,100
time to be doubling down on the battery minerals required for the emobility revolution cobalt nickel lithium graphite gemcv gemc evs,0,-1,101
fisker debuts  electric suv with a solar roof  via  fisker electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,-1,102
getting some practice in fastsoms flyracingusa evs hookit,0,3,103
rangeroversport plugin hybrid electrifies updates for     phev evs,1,5,104
an interview with  from plug me in as he arrives in australia  evs ev,1,5,105
honda confirms global premiere of its new electric vehicle at genevamotorshow ahead of production later this year  evs geneva,1,5,106
in april  plugin ev car sales in europe exceeded   via com electriccars electricvehicles electriccar evs ev tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,-1,107
rides are available buttsinseats evs driveelectric  dorey park,0,1,108
interesting results on educational polarization in social and political attitudes in the netherlands presented by  at the evs international workshop in tbilisi,1,3,109
this pandemic has given us a great opportunity to rethink economy keeping environment at the forefront of our recovery plan check out my piece  environment economicrecovery climatechange evs fuelcell ghg cdnpoli,0,3,110
avz theescondidaoflithiumthemononolithiumandtinproject a ball graph beautifully demonstrates the ginormous lithium resource avz hasid love to see a ball graph for its world class tin toopeercomparisonnumerounoitsmassivehereforalongtimedrc  greatfutureevs,0,-1,111
dont stop when youre tiredstop when youre done  wesley sinpessolartaximomo solartaxigh solartaximonday electric evs mondaymotivation weekstart newweek,0,3,112
glad you made it to glasgow  thanks for letting me a part of the journey evs decarbonisation cop,0,-1,113
friends are the family we choose for ourselves nico and victor  fundaciomona mona spain girona charity sanctuary erasmus evs chimpanzee,0,3,114
forget tesla its chinas ebuses that are denting oil demand article via  electrification electricbuses ebuses evs lithium orocobre ore orl,0,2,115
government grants for evs reduced after surge in sales plugin car grant drops from k to k eligibility upper limit reduced from k to kchanges made after surge in demand put massive strain on the schemeelectricvehicles,-1,-1,116
excellent presentation by janet stephenson director of csafe on the dunedinecostudy and the options we have to reduce city emissions transport like evs eco like wind power and solar,1,3,117
lots of people out at the ocautoshow in  including future evs drivers like vitzander checkout electric avenue to learn more about evs and how  can helpfutureiselectric,1,5,118
spotted a brand new a etron fueling up in a vip parking space just for evs in las hancockpark evsareeverywhere onlyinla,1,2,119
charging for electricvehicles now available  evs smarteco greenerplanet,1,2,120
amazing experience slovenia slovenjia predjama predjamacastle europe evs esc erasmus nature clouds cloudy photography trees predjamskigrad postojna walking caves ifeelslovenia,0,3,121
didnt mit study  conclude last yr lifetime cost lower for evs or is this new study saying purchase cost parity,0,-1,122
every time i hear someone argue that hydrogen cars might beat evs,-1,-1,123
also the demand displacement assigned to evs in this projection is too modest imo,0,5,124
bad journalism and misinformation keep trying to put evs or renewables under a bad light good to have a constructive discussion about environmental footprint and how to improve it,1,3,125
st  electric car made to be uber launched in china  via  news uber taxi eugreendeal climateactionnow electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,3,126
just dropped car off for annual service  garage no evs on display no charger in y they will sell only big shift needed,0,5,127
successful discoveranddrive with  in indio learn more about evs this saturday  in san bernardino inlandempire evall,0,5,128
today we travelled to the  awarded  to demonstrate the zeroemissions dannar  and discuss how it can be used to clean up riverways didyouknow the dannar  is submergible into four feet of waterapwa pwx greenfleet electric evs,1,-1,129
self recognition in juanito using my selfie camera  fundaciomona mona spain girona charity sanctuary erasmus evs chimpanzee,0,5,130
im concerned this is not soon enough how can we promote adoption and increase supply of evs and charging infrastructure,0,5,131
are we destined for population control that restricts us from having more than one child like china is  tons of co per human the standard for future generations can we cut carbon pollution by switching to evs and clean eco i vote for the latter climatechange,1,3,132
mazda teases electric car again with peek at interior  mazda electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,-1,3,133
to all those irish ev reviewers and enthusiasts out there great to see some chinese ev vans making it over to ireland ev evs electricvehicles electriccars,1,1,134
cleantechday  herv  ceo is on stage dealflow  to present gamechanger first renewable estation microgrid offgrid to charge  to  evs with  renewables,1,-1,135
at the ndew  in diamond bar earlier today lots of model registered so we took the wifes roadster lots of evs to see,0,5,136
samantha bingham of  moderates a panel on closing the ev infrastructure gap within the midcontinent region featuring maria d eisemann of  michael hughes of  tim sexton of  amp rob keller of  evs roadmap,0,3,137
finished up all the recording for the hycan  ev now to edit hpnmmiles nedc smart evai assistantselfdriving ev for k k less than model y with fsd in china evs hycan tesla tesla nio smartev selfdrivingcars autonomousdriving electriccars,0,3,138
woo hoo way to go all who worked for clean cars in minnesota actonclimate amp airpollution cleancarsmn lev zevs evs,0,3,139
great editorial on electric buses naturalgas transport not the answer evs via,0,-1,140
open hostility from the local authorities when   team set ambitious targetsshows value of high aspirations need same with evs,1,3,141
ive found that using the acronym ice either on social media with friendswho are piston heads or colleagues is very vague a none starter nobody knows what it means most think in car entertainmentcant help but think these adverts are falling on deaf earsev evs,0,3,142
volkswagen amp tesco partner for ev charging revolution powered by pod point    evs podpoint  electric,0,-1,143
fabulous evs i love the  i,0,5,144
thats terrible it appears that  is opposing evs and interfering in the fight against climatechange,-1,3,145
great article from kames head of esg renewables are defeating fossil fuels on the grid next up evs will defeat them on the roads sustainability climateaction,0,2,146
its a beautiful day for greendrives cleanvehicles cleanfuels cleanair cleancities evs altfuels,0,3,147
bmw agrees ev battery deal with catl as first plant to be built in germany more information    catl automotive evs electricvehicles electricbatteries  lithiumbatteries germany catlplant,1,5,148
productive conversation last night with    sara potts ashton  nancy sutley  discussing new modes of clean mobility it is imperative we move boldly now evs futureiselectric,1,3,149
just took the  vision eqs for a spin really cool futuristic concept well be getting the real thing in showrooms in less than two years evs,1,5,150
news story chinas output and newlyinstalled volume of power batteries hit fresh highs in aug from rapid developments in the countrys new eco vehicle nev industry  evs batterymetalsargusmetals analysis,1,-1,151
outside the cop green zone  glasgow science museumevs airbubble,0,3,152
supercharging in grove city oh teslasupercharger supercharger teslamodels teslamotors teslaautopilot electricvehicle ev evs,1,-1,153
love this mit graph that the ft and daily fail managed to cherry pick to imply that evs pollute more than ice cars,-1,3,154
used evs are an option too cleantransportation cleanmobility,1,3,155
you know evs are becoming main stream when this happens,0,5,156
super fast charging in electric vehicles with  betaforce  tc a thermally conductive adhesive that is perfect for bonding composites and other dissimilar materials in evs case study at,0,-1,157
aims for pole position in evs with new leaf  via,0,3,158
another bbc radio scotland interview all about evs  listen out this sat am,0,-1,159
china leads the world in cleantech deployment of massive numbers of evs many new ev companies most solar large wind investments renewables,1,3,160
that tiny little blob in the corneryep thats me presenting my research at isev in barcelona bigstage smallpeopleproblems passthemiraclegrow evs breastcancer neratinib neratinibresistance special thanks to  and,-1,3,161
conclusion if norway can do it california as the fifth largest economy in the world can too  million evs by  is key to meeting our state goals ocbcecoforum pathway electricvehicles,0,-1,162
last question is on natgas vehicles and why there are fewer in the us than elsewhere in the world possible explanations include prominence of evs and the price of oil that has made the argument harder to make,0,-1,163
two of our program managers presented at evs this week in kobe sharedmobility rideshare evs,0,5,164
evs are changing the discussion around how to pay for infrastructure dr greene  explains trends re state revenue and offers ideas while faye dimassimo  discusses how states can take a strategic approach to evs wethestates,-1,5,165
problem solving with titin  barbary macaque when all else fails use your teeth  fundaciomona mona spain girona charity sanctuary erasmus evs volunteer rescue,0,-1,166
evs in the car park event feb  held at the acecafelondonofficial electricvehicle electriccar tesla nissanleaf hyundaikona renaultzoe theplugseeker acecafelondon evs  ace cafe london ltd,0,3,167
russian zetta city module  wants to be worlds cheapest electric car  via com electriccar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,0,-1,168
we agree on some stuff global warming is a fact just look at the myriad of studies performed by climatologists theres not one credible study to the contrary evs are already subject to purchase tax a levy say  should be applied to all new fossil fuel cars,1,3,169
our evs volunteers are on drimon festival what is your plan for the weekend evs drimon culturenow w struga,0,3,170
pv to ev can you use your pv solar panels on your roof to charge your ev electric vehicleup to  of ev charging is likely to take place in the home says dr christopher munnings from our centre for hybrid eco systems evs,1,-1,171
is burning through cash    evs solar,0,-1,172
mataura ltcrt  km away from our gore event  cant wait to meet hamish at hsv  they sell evs in timaru too,0,-1,173
isie  student formula hybrid season  at bic hvc support us and switch to phi evs,0,-1,174
days to isev visit us and  at booth  and receive a free demonstration of zetaview nta  see you in barcelona evs exosome nanotechnology,0,-1,175
autovista group survey  manufacturers from which continent will win the race to electrificationplease click the link to register your vote now manufacturers electricvehicles evs automotive phevs emissions co continent emobility technology,0,3,176
polestar says it qualifies for separate  federal ev tax credit from volvo parent  via  polestar electriccars electricvehicles evs tesla cars autos vw daimler bmw psa renault peugeot citroen fiat volvo opel,1,-1,177
ev insurance  last year we saved ev owners money and gave them ev benefits with their policies this is awesome  but even better was their love for speaking to a team who knew evsthis is what makes it all worthwhileevinsurance electricvehicles evs zoomev,1,-1,178
are tesla owners aware that  cant have dealerships because of draconian laws created due to big oil lobbyist trying to make it harder for potential buyers to see and test drive the vehicles its absurd really evs elonmusk,-1,2,179
wireless charging a less visible but essential element of our autonomous electric transportation future evs autonomousvehicles,1,-1,180
but what is the loss to the wider ecosystem and how do you calculate a financial value for that ess evs naturalcapital,0,-1,181
lies damn lies and evs tim  busts some of the myths around evs charging and eco chargingbritain,0,-1,182
no better feeling altusmotorsports yamaha yz victoryzone blucru oneal enjoytheride answerracing twinair evs mikametals scottmotosports scottgoggles reptheskull,0,3,183
exciting news and proof that evs are creating new entrants to the market and providing economic opportunity to michigans auto supply chain cleanmobility cleantech,0,-1,184
always great to learn whatever more there is to learn about evs especially in the indian contextif its ditto for you youll like this session and all of htautoevconclave day  tomorrow has lots more,0,3,185
loved seeing the  ad on the london underground this morning for the vwegolf en route to   one of my top three evs    electricvehicles ev airquality roadtozero,1,3,186
guess who showed up s transportationservices department in pomona    the future of transporation is electric evs electricvehicles emobility,0,3,187
indeed they do  some loss of range but my bolt has run like a dream all winter evs lovemycar electrify,0,3,188
donaldtrump  turned the oilandgas industry on car companies it engineered a repeal of carpollution rules that was so revanchist so procarbon the auto industry refused to support it  gop republicans joebiden kamalaharris electricvehicles evs,0,3,189
what a worldgt chargepoint is ready for flying evs  flyingcars  smartcities drones transportation,0,-1,190
china banning traditional auto engines its aim electriccar domination latimes china cleantech dieselban evs,1,3,191
carmakers look to cut down variants for new automotive landscaperead more here   automotive automotiveindustry wltp evs electricvehicles emobility futuremobility diesel emissions newcars europe uk autonomousvehicles technology,1,3,192
wheres your first electricplane alreadyfia evs electricflight,0,3,193
new hyundai ioniq hybrid amp plugin maximise connectivity  evs  phev,0,3,194
evs free rides charge across town leaf i mini,0,3,195
a year ago today we got this beast of a car its been so fun and it keeps on giving and it shares this special day with  birthday woot  evs electricvehicles,0,3,196
the decade of the battery how eco storage and electrified transport are creating a massive economic opportunity for the raw materials powering new technology  gotcobalt  gemcv  gemc  gblefcobalt nickel copper evs,0,-1,197
dphc i have a solid long position here for one of my favorite ev plays we had a very nice technical bounce off of the  mapurple today where i added more shares closing strong into ah up another  green here stocks analysis investing evs ride buy webull,0,-1,198
